name,look_like_this?___1___1,look_like_this?___1___2,look_like_this?___1___4,look_like_this?___1___5,red,yellow,blue or purple,white,Is the flower look like that,look like this?___1___5
Androsace filiformis,no,no,yes,no,no,no,no,yes,no,no
Orychophragmus violaceus,yes,no,no,no,no,no,yes,no,no,no
Viola phillipina,no,no,no,no,no,no,yes,no,no,no
Oxalis pes-caprae,no,no,no,no,no,yes,no,no,yes,no
Erysimum perofskianum,yes,no,no,no,no,yes,no,no,no,no
Capsella bursa-pastoris,yes,no,no,no,no,no,no,yes,no,no
